,period,company,tickers,indicator,unit,amount
8664,2016 Q2,AMAZON COM INC,AMZN,Final Revenue,US Dollar,"30,404,000,000"
8673,2016 Q3,AMAZON COM INC,AMZN,Final Revenue,US Dollar,"32,714,000,000"
8682,2016 Q4,AMAZON COM INC,AMZN,Final Revenue,US Dollar,"43,741,000,000"
8702,2014 Q1,AMBARELLA INC,AMBA,Final Revenue,US Dollar,"40,921,000"
8711,2014 Q2,AMBARELLA INC,AMBA,Final Revenue,US Dollar,"46,968,000"
8720,2014 Q3,AMBARELLA INC,AMBA,Final Revenue,US Dollar,"65,689,000"
8729,2014 Q4,AMBARELLA INC,AMBA,Final Revenue,US Dollar,"64,700,000"
8739,2015 Q1,AMBARELLA INC,AMBA,Final Revenue,US Dollar,"71,013,000"
8748,2015 Q2,AMBARELLA INC,AMBA,Final Revenue,US Dollar,"84,193,000"
8757,2015 Q3,AMBARELLA INC,AMBA,Final Revenue,US Dollar,"93,200,000"
8766,2015 Q4,AMBARELLA INC,AMBA,Final Revenue,US Dollar,"67,967,000"
8776,2016 Q1,AMBARELLA INC,AMBA,Final Revenue,US Dollar,"57,157,000"
8785,2016 Q2,AMBARELLA INC,AMBA,Final Revenue,US Dollar,"65,142,000"
8794,2016 Q3,AMBARELLA INC,AMBA,Final Revenue,US Dollar,"100,490,000"
8803,2016 Q4,AMBARELLA INC,AMBA,Final Revenue,US Dollar,"87,508,000"
8812,2014 Q1,AMC Networks Inc.,AMCX,Final Revenue,US Dollar,"524,554,000"
8819,2014 Q2,AMC Networks Inc.,AMCX,Final Revenue,US Dollar,"522,093,000"
8826,2014 Q3,AMC Networks Inc.,AMCX,Final Revenue,US Dollar,"519,550,000"
8833,2014 Q4,AMC Networks Inc.,AMCX,Final Revenue,US Dollar,"609,444,000"
8840,2015 Q1,AMC Networks Inc.,AMCX,Final Revenue,US Dollar,"668,682,000"
8847,2015 Q2,AMC Networks Inc.,AMCX,Final Revenue,US Dollar,"601,138,000"
8854,2015 Q3,AMC Networks Inc.,AMCX,Final Revenue,US Dollar,"632,165,000"
8861,2015 Q4,AMC Networks Inc.,AMCX,Final Revenue,US Dollar,"678,950,000"
8868,2016 Q1,AMC Networks Inc.,AMCX,Final Revenue,US Dollar,"706,579,000"
8875,2016 Q2,AMC Networks Inc.,AMCX,Final Revenue,US Dollar,"684,832,000"
8882,2016 Q3,AMC Networks Inc.,AMCX,Final Revenue,US Dollar,"634,646,000"
8889,2016 Q4,AMC Networks Inc.,AMCX,Final Revenue,US Dollar,"729,597,000"
8897,2014 Q1,AMEDICA Corp,AMDA,Final Revenue,US Dollar,"5,780,000"
8905,2014 Q2,AMEDICA Corp,AMDA,Final Revenue,US Dollar,"5,836,000"
8913,2014 Q3,AMEDICA Corp,AMDA,Final Revenue,US Dollar,"5,998,000"
8921,2014 Q4,AMEDICA Corp,AMDA,Final Revenue,US Dollar,"5,151,000"
8931,2015 Q1,AMEDICA Corp,AMDA,Final Revenue,US Dollar,"4,743,000"
8939,2015 Q2,AMEDICA Corp,AMDA,Final Revenue,US Dollar,"4,780,000"
8947,2015 Q3,AMEDICA Corp,AMDA,Final Revenue,US Dollar,"4,835,000"
8955,2015 Q4,AMEDICA Corp,AMDA,Final Revenue,US Dollar,"5,095,000"
8965,2016 Q1,AMEDICA Corp,AMDA,Final Revenue,US Dollar,"4,173,000"
8974,2016 Q2,AMEDICA Corp,AMDA,Final Revenue,US Dollar,"4,023,000"
8983,2016 Q3,AMEDICA Corp,AMDA,Final Revenue,US Dollar,"3,378,000"
9080,2014 Q1,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",ATAX,Final Revenue,US Dollar,"12,399,967"
9087,2014 Q2,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",ATAX,Final Revenue,US Dollar,"10,467,428"
9094,2014 Q3,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",ATAX,Final Revenue,US Dollar,"11,043,537"
9101,2014 Q4,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",ATAX,Final Revenue,US Dollar,"11,731,863"
9109,2015 Q1,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",ATAX,Final Revenue,US Dollar,"12,506,625"
9116,2015 Q2,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",ATAX,Final Revenue,US Dollar,"13,702,105"
9124,2015 Q3,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",ATAX,Final Revenue,US Dollar,"12,897,065"
9132,2015 Q4,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",ATAX,Final Revenue,US Dollar,"20,841,336"
9140,2016 Q1,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",ATAX,Final Revenue,US Dollar,"14,919,859"
9147,2016 Q2,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",ATAX,Final Revenue,US Dollar,"14,933,121"
9154,2016 Q3,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",ATAX,Final Revenue,US Dollar,"13,221,939"
9161,2016 Q4,"AMERICA FIRST MULTIFAMILY INVESTORS, L.P.",ATAX,Final Revenue,US Dollar,"15,903,831"
9169,2014 Q1,American Airlines Group Inc.,AAL,Final Revenue,US Dollar,"9,995,000,000"
9175,2014 Q2,American Airlines Group Inc.,AAL,Final Revenue,US Dollar,"11,355,000,000"
9180,2014 Q3,American Airlines Group Inc.,AAL,Final Revenue,US Dollar,"11,139,000,000"
9187,2014 Q4,American Airlines Group Inc.,AAL,Final Revenue,US Dollar,"10,160,000,000"
9193,2015 Q1,American Airlines Group Inc.,AAL,Final Revenue,US Dollar,"9,827,000,000"
9200,2015 Q2,American Airlines Group Inc.,AAL,Final Revenue,US Dollar,"10,827,000,000"
9206,2015 Q3,American Airlines Group Inc.,AAL,Final Revenue,US Dollar,"10,706,000,000"
9212,2015 Q4,American Airlines Group Inc.,AAL,Final Revenue,US Dollar,"9,630,000,000"
9218,2016 Q1,American Airlines Group Inc.,AAL,Final Revenue,US Dollar,"9,435,000,000"
9224,2016 Q2,American Airlines Group Inc.,AAL,Final Revenue,US Dollar,"10,363,000,000"
9229,2016 Q3,American Airlines Group Inc.,AAL,Final Revenue,US Dollar,"10,594,000,000"
9233,2016 Q4,American Airlines Group Inc.,AAL,Final Revenue,US Dollar,"9,789,000,000"
9241,2014 Q1,American Electric Technologies Inc,AETI,Final Revenue,US Dollar,"15,848,000"
9250,2014 Q2,American Electric Technologies Inc,AETI,Final Revenue,US Dollar,"13,430,000"
9259,2014 Q3,American Electric Technologies Inc,AETI,Final Revenue,US Dollar,"14,283,000"
9268,2014 Q4,American Electric Technologies Inc,AETI,Final Revenue,US Dollar,"13,693,000"
9278,2015 Q1,American Electric Technologies Inc,AETI,Final Revenue,US Dollar,"15,311,000"
9287,2015 Q2,American Electric Technologies Inc,AETI,Final Revenue,US Dollar,"12,302,000"
9296,2015 Q3,American Electric Technologies Inc,AETI,Final Revenue,US Dollar,"13,780,000"
9305,2015 Q4,American Electric Technologies Inc,AETI,Final Revenue,US Dollar,"7,690,000"
9315,2016 Q1,American Electric Technologies Inc,AETI,Final Revenue,US Dollar,"8,298,000"
9324,2016 Q2,American Electric Technologies Inc,AETI,Final Revenue,US Dollar,"11,444,000"
9333,2016 Q3,American Electric Technologies Inc,AETI,Final Revenue,US Dollar,"8,673,000"
9342,2016 Q4,American Electric Technologies Inc,AETI,Final Revenue,US Dollar,"9,397,000"
9427,2014 Q1,AMERICAN NATIONAL INSURANCE CO /TX/,ANAT,Final Revenue,US Dollar,"772,436,000"
9434,2014 Q2,AMERICAN NATIONAL INSURANCE CO /TX/,ANAT,Final Revenue,US Dollar,"754,786,000"
9441,2014 Q3,AMERICAN NATIONAL INSURANCE CO /TX/,ANAT,Final Revenue,US Dollar,"746,170,000"
9448,2014 Q4,AMERICAN NATIONAL INSURANCE CO /TX/,ANAT,Final Revenue,US Dollar,"777,198,000"
9456,2015 Q1,AMERICAN NATIONAL INSURANCE CO /TX/,ANAT,Final Revenue,US Dollar,"756,567,000"
9463,2015 Q2,AMERICAN NATIONAL INSURANCE CO /TX/,ANAT,Final Revenue,US Dollar,"717,506,000"
9470,2015 Q3,AMERICAN NATIONAL INSURANCE CO /TX/,ANAT,Final Revenue,US Dollar,"699,859,000"
9477,2015 Q4,AMERICAN NATIONAL INSURANCE CO /TX/,ANAT,Final Revenue,US Dollar,"843,523,000"
9485,2016 Q1,AMERICAN NATIONAL INSURANCE CO /TX/,ANAT,Final Revenue,US Dollar,"764,970,000"
9492,2016 Q2,AMERICAN NATIONAL INSURANCE CO /TX/,ANAT,Final Revenue,US Dollar,"800,448,000"
9499,2016 Q3,AMERICAN NATIONAL INSURANCE CO /TX/,ANAT,Final Revenue,US Dollar,"823,142,000"
9506,2016 Q4,AMERICAN NATIONAL INSURANCE CO /TX/,ANAT,Final Revenue,US Dollar,"839,391,000"
9513,2014 Q1,AMERICAN OUTDOOR BRANDS CORP,"AOBC, SWHC",Final Revenue,US Dollar,"170,425,000"
9523,2014 Q2,AMERICAN OUTDOOR BRANDS CORP,"AOBC, SWHC",Final Revenue,US Dollar,"131,869,000"
9532,2014 Q3,AMERICAN OUTDOOR BRANDS CORP,"AOBC, SWHC",Final Revenue,US Dollar,"108,446,000"
9541,2014 Q4,AMERICAN OUTDOOR BRANDS CORP,"AOBC, SWHC",Final Revenue,US Dollar,"130,550,000"
9550,2015 Q1,AMERICAN OUTDOOR BRANDS CORP,"AOBC, SWHC",Final Revenue,US Dollar,"180,997,000"
9560,2015 Q2,AMERICAN OUTDOOR BRANDS CORP,"AOBC, SWHC",Final Revenue,US Dollar,"147,763,000"
9569,2015 Q3,AMERICAN OUTDOOR BRANDS CORP,"AOBC, SWHC",Final Revenue,US Dollar,"143,242,000"
9578,2015 Q4,AMERICAN OUTDOOR BRANDS CORP,"AOBC, SWHC",Final Revenue,US Dollar,"210,786,000"
9587,2016 Q1,AMERICAN OUTDOOR BRANDS CORP,"AOBC, SWHC",Final Revenue,US Dollar,"221,117,000"
9597,2016 Q2,AMERICAN OUTDOOR BRANDS CORP,"AOBC, SWHC",Final Revenue,US Dollar,"206,951,000"
9606,2016 Q3,AMERICAN OUTDOOR BRANDS CORP,"AOBC, SWHC",Final Revenue,US Dollar,"233,528,000"
9615,2016 Q4,AMERICAN OUTDOOR BRANDS CORP,"AOBC, SWHC",Final Revenue,US Dollar,"233,523,000"
9625,2014 Q1,AMERICAN PUBLIC EDUCATION INC,APEI,Final Revenue,US Dollar,"88,553,000"
9633,2014 Q2,AMERICAN PUBLIC EDUCATION INC,APEI,Final Revenue,US Dollar,"85,463,000"
9641,2014 Q3,AMERICAN PUBLIC EDUCATION INC,APEI,Final Revenue,US Dollar,"84,708,000"
9649,2014 Q4,AMERICAN PUBLIC EDUCATION INC,APEI,Final Revenue,US Dollar,"91,297,000"
9658,2015 Q1,AMERICAN PUBLIC EDUCATION INC,APEI,Final Revenue,US Dollar,"85,444,000"
9666,2015 Q2,AMERICAN PUBLIC EDUCATION INC,APEI,Final Revenue,US Dollar,"80,263,000"
9674,2015 Q3,AMERICAN PUBLIC EDUCATION INC,APEI,Final Revenue,US Dollar,"76,291,000"
9682,2015 Q4,AMERICAN PUBLIC EDUCATION INC,APEI,Final Revenue,US Dollar,"85,912,000"
9691,2016 Q1,AMERICAN PUBLIC EDUCATION INC,APEI,Final Revenue,US Dollar,"83,966,000"
9699,2016 Q2,AMERICAN PUBLIC EDUCATION INC,APEI,Final Revenue,US Dollar,"76,745,000"
9707,2016 Q3,AMERICAN PUBLIC EDUCATION INC,APEI,Final Revenue,US Dollar,"73,803,000"
9715,2016 Q4,AMERICAN PUBLIC EDUCATION INC,APEI,Final Revenue,US Dollar,"78,625,000"
9724,2014 Q1,"American Railcar Industries, Inc.",ARII,Final Revenue,US Dollar,0
9733,2014 Q2,"American Railcar Industries, Inc.",ARII,Final Revenue,US Dollar,"237,509,000"
9742,2014 Q3,"American Railcar Industries, Inc.",ARII,Final Revenue,US Dollar,"162,842,000"
9751,2014 Q4,"American Railcar Industries, Inc.",ARII,Final Revenue,US Dollar,"150,540,000"
9761,2015 Q1,"American Railcar Industries, Inc.",ARII,Final Revenue,US Dollar,0
9770,2015 Q2,"American Railcar Industries, Inc.",ARII,Final Revenue,US Dollar,"191,998,000"
9779,2015 Q3,"American Railcar Industries, Inc.",ARII,Final Revenue,US Dollar,"172,667,000"
9788,2015 Q4,"American Railcar Industries, Inc.",ARII,Final Revenue,US Dollar,"260,895,000"
9798,2016 Q1,"American Railcar Industries, Inc.",ARII,Final Revenue,US Dollar,"176,180,000"
9807,2016 Q2,"American Railcar Industries, Inc.",ARII,Final Revenue,US Dollar,"150,484,000"
9816,2016 Q3,"American Railcar Industries, Inc.",ARII,Final Revenue,US Dollar,"144,962,000"
9825,2016 Q4,"American Railcar Industries, Inc.",ARII,Final Revenue,US Dollar,"167,507,000"
9834,2014 Q1,AMERICAN RIVER BANKSHARES,AMRB,Final Revenue,US Dollar,0
9839,2014 Q2,AMERICAN RIVER BANKSHARES,AMRB,Final Revenue,US Dollar,"165,326,000"
9848,2014 Q3,AMERICAN RIVER BANKSHARES,AMRB,Final Revenue,US Dollar,"120,058"
9861,2015 Q1,AMERICAN RIVER BANKSHARES,AMRB,Final Revenue,US Dollar,0
9870,2015 Q2,AMERICAN RIVER BANKSHARES,AMRB,Final Revenue,US Dollar,"107,334"
9890,2016 Q1,AMERICAN RIVER BANKSHARES,AMRB,Final Revenue,US Dollar,"140,440"
9899,2016 Q2,AMERICAN RIVER BANKSHARES,AMRB,Final Revenue,US Dollar,"158,485"
9916,2014 Q1,AMERICAN SOFTWARE INC,AMSWA,Final Revenue,US Dollar,"25,925,000"
9926,2014 Q2,AMERICAN SOFTWARE INC,AMSWA,Final Revenue,US Dollar,"24,857,000"
9935,2014 Q3,AMERICAN SOFTWARE INC,AMSWA,Final Revenue,US Dollar,"24,577,000"
9944,2014 Q4,AMERICAN SOFTWARE INC,AMSWA,Final Revenue,US Dollar,"25,839,000"
9953,2015 Q1,AMERICAN SOFTWARE INC,AMSWA,Final Revenue,US Dollar,"27,600,000"
9963,2015 Q2,AMERICAN SOFTWARE INC,AMSWA,Final Revenue,US Dollar,"28,858,000"
9972,2015 Q3,AMERICAN SOFTWARE INC,AMSWA,Final Revenue,US Dollar,"29,070,000"
9981,2015 Q4,AMERICAN SOFTWARE INC,AMSWA,Final Revenue,US Dollar,"27,095,000"
9990,2016 Q1,AMERICAN SOFTWARE INC,AMSWA,Final Revenue,US Dollar,"28,866,000"
10000,2016 Q2,AMERICAN SOFTWARE INC,AMSWA,Final Revenue,US Dollar,"27,433,000"
10009,2016 Q3,AMERICAN SOFTWARE INC,AMSWA,Final Revenue,US Dollar,"26,146,000"
10018,2016 Q4,AMERICAN SOFTWARE INC,AMSWA,Final Revenue,US Dollar,"26,441,000"
10027,2014 Q1,AMERICAN SUPERCONDUCTOR CORP /DE/,AMSC,Final Revenue,US Dollar,"16,287,000"
10036,2014 Q2,AMERICAN SUPERCONDUCTOR CORP /DE/,AMSC,Final Revenue,US Dollar,"11,696,000"
10044,2014 Q3,AMERICAN SUPERCONDUCTOR CORP /DE/,AMSC,Final Revenue,US Dollar,"12,455,000"
10052,2014 Q4,AMERICAN SUPERCONDUCTOR CORP /DE/,AMSC,Final Revenue,US Dollar,"21,250,000"
10061,2015 Q1,AMERICAN SUPERCONDUCTOR CORP /DE/,AMSC,Final Revenue,US Dollar,"25,129,000"
10070,2015 Q2,AMERICAN SUPERCONDUCTOR CORP /DE/,AMSC,Final Revenue,US Dollar,"23,723,000"
10079,2015 Q3,AMERICAN SUPERCONDUCTOR CORP /DE/,AMSC,Final Revenue,US Dollar,"19,004,000"
10088,2015 Q4,AMERICAN SUPERCONDUCTOR CORP /DE/,AMSC,Final Revenue,US Dollar,"25,772,000"
10097,2016 Q1,AMERICAN SUPERCONDUCTOR CORP /DE/,AMSC,Final Revenue,US Dollar,"27,524,000"
10107,2016 Q2,AMERICAN SUPERCONDUCTOR CORP /DE/,AMSC,Final Revenue,US Dollar,"13,345,000"
10116,2016 Q3,AMERICAN SUPERCONDUCTOR CORP /DE/,AMSC,Final Revenue,US Dollar,"18,507,000"
10125,2016 Q4,AMERICAN SUPERCONDUCTOR CORP /DE/,AMSC,Final Revenue,US Dollar,"27,148,000"
10134,2014 Q1,AMERICAN WOODMARK CORP,AMWD,Final Revenue,US Dollar,"206,892,000"
10144,2014 Q2,AMERICAN WOODMARK CORP,AMWD,Final Revenue,US Dollar,"231,198,000"
10153,2014 Q3,AMERICAN WOODMARK CORP,AMWD,Final Revenue,US Dollar,"256,292,000"
10162,2014 Q4,AMERICAN WOODMARK CORP,AMWD,Final Revenue,US Dollar,"218,632,000"
10171,2015 Q1,AMERICAN WOODMARK CORP,AMWD,Final Revenue,US Dollar,"240,923,000"
10181,2015 Q2,AMERICAN WOODMARK CORP,AMWD,Final Revenue,US Dollar,"231,198,000"
10190,2015 Q3,AMERICAN WOODMARK CORP,AMWD,Final Revenue,US Dollar,"256,292,000"
10199,2015 Q4,AMERICAN WOODMARK CORP,AMWD,Final Revenue,US Dollar,"218,632,000"
10208,2016 Q1,AMERICAN WOODMARK CORP,AMWD,Final Revenue,US Dollar,"240,923,000"
10218,2016 Q2,AMERICAN WOODMARK CORP,AMWD,Final Revenue,US Dollar,"258,150,000"
10227,2016 Q3,AMERICAN WOODMARK CORP,AMWD,Final Revenue,US Dollar,"264,076,000"
10236,2016 Q4,AMERICAN WOODMARK CORP,AMWD,Final Revenue,US Dollar,"249,285,000"
10245,2014 Q1,AMERICAS CARMART INC,CRMT,Final Revenue,US Dollar,"122,624,000"
10254,2014 Q2,AMERICAS CARMART INC,CRMT,Final Revenue,US Dollar,"127,376,000"
10262,2014 Q3,AMERICAS CARMART INC,CRMT,Final Revenue,US Dollar,"133,834,000"
10270,2014 Q4,AMERICAS CARMART INC,CRMT,Final Revenue,US Dollar,"131,500,000"
10278,2015 Q1,AMERICAS CARMART INC,CRMT,Final Revenue,US Dollar,"137,611,000"
10287,2015 Q2,AMERICAS CARMART INC,CRMT,Final Revenue,US Dollar,"142,690,000"
10295,2015 Q3,AMERICAS CARMART INC,CRMT,Final Revenue,US Dollar,"133,004,000"
10303,2015 Q4,AMERICAS CARMART INC,CRMT,Final Revenue,US Dollar,"137,463,000"
10311,2016 Q1,AMERICAS CARMART INC,CRMT,Final Revenue,US Dollar,"154,749,000"
10320,2016 Q2,AMERICAS CARMART INC,CRMT,Final Revenue,US Dollar,"145,840,000"
10328,2016 Q3,AMERICAS CARMART INC,CRMT,Final Revenue,US Dollar,"150,210,000"
10336,2016 Q4,AMERICAS CARMART INC,CRMT,Final Revenue,US Dollar,"138,784,000"
10345,2014 Q1,AMERISAFE INC,AMSF,Final Revenue,US Dollar,"96,173,000"
10351,2014 Q2,AMERISAFE INC,AMSF,Final Revenue,US Dollar,"100,624,000"
10357,2014 Q3,AMERISAFE INC,AMSF,Final Revenue,US Dollar,"102,336,000"
10363,2014 Q4,AMERISAFE INC,AMSF,Final Revenue,US Dollar,"104,886,000"
10370,2015 Q1,AMERISAFE INC,AMSF,Final Revenue,US Dollar,"101,788,000"
10376,2015 Q2,AMERISAFE INC,AMSF,Final Revenue,US Dollar,"99,936,000"
10382,2015 Q3,AMERISAFE INC,AMSF,Final Revenue,US Dollar,"97,470,000"
10388,2015 Q4,AMERISAFE INC,AMSF,Final Revenue,US Dollar,"101,760,000"
10395,2016 Q1,AMERISAFE INC,AMSF,Final Revenue,US Dollar,"102,335,000"
10401,2016 Q2,AMERISAFE INC,AMSF,Final Revenue,US Dollar,"97,563,000"
10407,2016 Q3,AMERISAFE INC,AMSF,Final Revenue,US Dollar,"98,206,000"
10413,2016 Q4,AMERISAFE INC,AMSF,Final Revenue,US Dollar,"98,558,000"
10636,2014 Q1,AMGEN INC,AMGN,Final Revenue,US Dollar,"4,521,000,000"
10645,2014 Q2,AMGEN INC,AMGN,Final Revenue,US Dollar,"5,180,000,000"
10654,2014 Q3,AMGEN INC,AMGN,Final Revenue,US Dollar,"5,031,000,000"
10663,2014 Q4,AMGEN INC,AMGN,Final Revenue,US Dollar,"5,331,000,000"
10673,2015 Q1,AMGEN INC,AMGN,Final Revenue,US Dollar,"5,033,000,000"
10682,2015 Q2,AMGEN INC,AMGN,Final Revenue,US Dollar,"5,370,000,000"
10691,2015 Q3,AMGEN INC,AMGN,Final Revenue,US Dollar,"5,723,000,000"
10700,2015 Q4,AMGEN INC,AMGN,Final Revenue,US Dollar,"5,536,000,000"
10710,2016 Q1,AMGEN INC,AMGN,Final Revenue,US Dollar,"5,527,000,000"
10719,2016 Q2,AMGEN INC,AMGN,Final Revenue,US Dollar,"5,688,000,000"
10728,2016 Q3,AMGEN INC,AMGN,Final Revenue,US Dollar,"5,811,000,000"
10737,2016 Q4,AMGEN INC,AMGN,Final Revenue,US Dollar,"5,965,000,000"
10746,2014 Q1,AMICUS THERAPEUTICS INC,FOLD,Final Revenue,US Dollar,"456,000"
10754,2014 Q2,AMICUS THERAPEUTICS INC,FOLD,Final Revenue,US Dollar,"475,000"
10761,2014 Q3,AMICUS THERAPEUTICS INC,FOLD,Final Revenue,US Dollar,"293,000"
10768,2014 Q4,AMICUS THERAPEUTICS INC,FOLD,Final Revenue,US Dollar,0
10815,2016 Q3,AMICUS THERAPEUTICS INC,FOLD,Final Revenue,US Dollar,"2,127,000"
10831,2014 Q1,"AMKOR TECHNOLOGY, INC.",AMKR,Final Revenue,US Dollar,"696,044,000"
10840,2014 Q2,"AMKOR TECHNOLOGY, INC.",AMKR,Final Revenue,US Dollar,"767,459,000"
10849,2014 Q3,"AMKOR TECHNOLOGY, INC.",AMKR,Final Revenue,US Dollar,"812,824,000"
10858,2014 Q4,"AMKOR TECHNOLOGY, INC.",AMKR,Final Revenue,US Dollar,"853,113,000"
10868,2015 Q1,"AMKOR TECHNOLOGY, INC.",AMKR,Final Revenue,US Dollar,"742,875,000"
10877,2015 Q2,"AMKOR TECHNOLOGY, INC.",AMKR,Final Revenue,US Dollar,"736,722,000"
10886,2015 Q3,"AMKOR TECHNOLOGY, INC.",AMKR,Final Revenue,US Dollar,"734,362,000"
10895,2015 Q4,"AMKOR TECHNOLOGY, INC.",AMKR,Final Revenue,US Dollar,"670,644,000"
10905,2016 Q1,"AMKOR TECHNOLOGY, INC.",AMKR,Final Revenue,US Dollar,"868,682,000"
10914,2016 Q2,"AMKOR TECHNOLOGY, INC.",AMKR,Final Revenue,US Dollar,"917,326,000"
10923,2016 Q3,"AMKOR TECHNOLOGY, INC.",AMKR,Final Revenue,US Dollar,"1,086,014,000"
10932,2016 Q4,"AMKOR TECHNOLOGY, INC.",AMKR,Final Revenue,US Dollar,"1,021,613,000"
10941,2014 Q1,"Amphastar Pharmaceuticals, Inc.",AMPH,Final Revenue,US Dollar,"45,870,000"
10948,2014 Q2,"Amphastar Pharmaceuticals, Inc.",AMPH,Final Revenue,US Dollar,"49,003,000"
10957,2014 Q3,"Amphastar Pharmaceuticals, Inc.",AMPH,Final Revenue,US Dollar,"59,711,000"
10966,2014 Q4,"Amphastar Pharmaceuticals, Inc.",AMPH,Final Revenue,US Dollar,"55,877,000"
10976,2015 Q1,"Amphastar Pharmaceuticals, Inc.",AMPH,Final Revenue,US Dollar,"56,886,000"
10985,2015 Q2,"Amphastar Pharmaceuticals, Inc.",AMPH,Final Revenue,US Dollar,"53,853,000"
10994,2015 Q3,"Amphastar Pharmaceuticals, Inc.",AMPH,Final Revenue,US Dollar,"63,868,000"
11003,2015 Q4,"Amphastar Pharmaceuticals, Inc.",AMPH,Final Revenue,US Dollar,"76,912,000"
11013,2016 Q1,"Amphastar Pharmaceuticals, Inc.",AMPH,Final Revenue,US Dollar,"59,366,000"
11022,2016 Q2,"Amphastar Pharmaceuticals, Inc.",AMPH,Final Revenue,US Dollar,"68,033,000"
11031,2016 Q3,"Amphastar Pharmaceuticals, Inc.",AMPH,Final Revenue,US Dollar,"64,223,000"
11040,2016 Q4,"Amphastar Pharmaceuticals, Inc.",AMPH,Final Revenue,US Dollar,"63,543,000"
11050,2014 Q1,Amplify Energy Corp,MEMP,Final Revenue,US Dollar,"116,885,000"
11058,2014 Q2,Amplify Energy Corp,MEMP,Final Revenue,US Dollar,"144,208,000"
11066,2014 Q3,Amplify Energy Corp,MEMP,Final Revenue,US Dollar,"166,261,000"
11074,2014 Q4,Amplify Energy Corp,MEMP,Final Revenue,US Dollar,"138,689,000"
11083,2015 Q1,Amplify Energy Corp,MEMP,Final Revenue,US Dollar,"92,818,000"
11091,2015 Q2,Amplify Energy Corp,MEMP,Final Revenue,US Dollar,"98,138,000"
11098,2015 Q3,Amplify Energy Corp,MEMP,Final Revenue,US Dollar,"88,083,000"
11105,2015 Q4,Amplify Energy Corp,MEMP,Final Revenue,US Dollar,"79,108,000"
11113,2016 Q1,Amplify Energy Corp,MEMP,Final Revenue,US Dollar,"60,866,000"
11119,2016 Q2,Amplify Energy Corp,MEMP,Final Revenue,US Dollar,"68,066,000"
11126,2016 Q3,Amplify Energy Corp,MEMP,Final Revenue,US Dollar,"74,222,000"
11133,2016 Q4,Amplify Energy Corp,MEMP,Final Revenue,US Dollar,"81,426,000"
11140,2014 Q1,AMTECH SYSTEMS INC,ASYS,Final Revenue,US Dollar,"12,717,000"
11149,2014 Q2,AMTECH SYSTEMS INC,ASYS,Final Revenue,US Dollar,"9,190,000"
11158,2014 Q3,AMTECH SYSTEMS INC,ASYS,Final Revenue,US Dollar,"19,822,000"
11168,2014 Q4,AMTECH SYSTEMS INC,ASYS,Final Revenue,US Dollar,"12,396,000"
11177,2015 Q1,AMTECH SYSTEMS INC,ASYS,Final Revenue,US Dollar,"24,273,000"
11186,2015 Q2,AMTECH SYSTEMS INC,ASYS,Final Revenue,US Dollar,"40,016,000"
11195,2015 Q3,AMTECH SYSTEMS INC,ASYS,Final Revenue,US Dollar,"28,198,000"
11205,2015 Q4,AMTECH SYSTEMS INC,ASYS,Final Revenue,US Dollar,"22,074,000"
11214,2016 Q1,AMTECH SYSTEMS INC,ASYS,Final Revenue,US Dollar,"22,483,000"
11223,2016 Q2,AMTECH SYSTEMS INC,ASYS,Final Revenue,US Dollar,"33,342,000"
11232,2016 Q3,AMTECH SYSTEMS INC,ASYS,Final Revenue,US Dollar,"42,409,000"
11242,2016 Q4,AMTECH SYSTEMS INC,ASYS,Final Revenue,US Dollar,"29,135,000"
11252,2014 Q1,"Amtrust Financial Services, Inc.","AFSI, AFSI^A, AFSI^B, AFSI^C, AFSI^D, AFSI^E, AFSI^F, AFSS, AFST",Final Revenue,US Dollar,"953,975,000"
11260,2014 Q2,"Amtrust Financial Services, Inc.","AFSI, AFSI^A, AFSI^B, AFSI^C, AFSI^D, AFSI^E, AFSI^F, AFSS, AFST",Final Revenue,US Dollar,"1,010,979,000"
11268,2014 Q3,"Amtrust Financial Services, Inc.","AFSI, AFSI^A, AFSI^B, AFSI^C, AFSI^D, AFSI^E, AFSI^F, AFSS, AFST",Final Revenue,US Dollar,"1,071,634,000"
11276,2014 Q4,"Amtrust Financial Services, Inc.","AFSI, AFSI^A, AFSI^B, AFSI^C, AFSI^D, AFSI^E, AFSI^F, AFSS, AFST",Final Revenue,US Dollar,"983,626,000"
11285,2015 Q1,"Amtrust Financial Services, Inc.","AFSI, AFSI^A, AFSI^B, AFSI^C, AFSI^D, AFSI^E, AFSI^F, AFSS, AFST",Final Revenue,US Dollar,"1,101,722,000"
11293,2015 Q2,"Amtrust Financial Services, Inc.","AFSI, AFSI^A, AFSI^B, AFSI^C, AFSI^D, AFSI^E, AFSI^F, AFSS, AFST",Final Revenue,US Dollar,"1,110,348,000"
